id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at
801063766897098752,mary susan evans,msevans034,107557,1032,5000,88480,4,,en,,,True,True,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,,333333,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,,False,False,2016-11-22 14:04:19
720425387025563648,Chari Fish,chari_fish,40710,1203,1239,66646,5,,en,,"Wausau, WI",True,False,False,http://pbs.twimg.com/profile_images/720431684571774976/Zta375fM_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/720431684571774976/Zta375fM_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,"Voracious reader, writer, crazy cat lady, love our diverse country, pray Trump is just a temporary nightmare. #resist",False,False,2016-04-14 01:36:11
922836985055674370,Puddin,Puddin_1212,3353,3399,4993,4935,1,,en,,U.S.A.,True,False,True,http://pbs.twimg.com/profile_images/922847274241159168/buEWoZwb_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/922847274241159168/buEWoZwb_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,Common Sense* #MAGA* #2A*God and country*,False,False,2017-10-24 14:47:37
818299526079389699,Common Sense,susan_sense,60757,4448,3899,40830,13,,en,,USA,True,False,True,http://pbs.twimg.com/profile_images/823427137835106304/2dFUysiK_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/823427137835106304/2dFUysiK_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,Proud American/ Italian/ Christian/ Family / Love America/ Military / #MAGA/#NRA#2A/#For Israel/ #blockporn #no trolls/ #NoSharia #LiberalismIsAMentalDisorder#Q,False,False,2017-01-09 03:33:05
837779358529937412,Mitzi Miller👠,MitziMiller42,3524,6179,6595,667,1,,en,,United States,True,False,False,http://pbs.twimg.com/profile_images/837793326413705216/ycrr9pDB_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/837793326413705216/ycrr9pDB_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,All aboard the #TrumpTrain! Let's follow each other and help Make America Great Again ... one tweet at a time. NO lists!,False,False,2017-03-03 21:38:59
912383598828847109,J Rob,thatz2bad4u,15870,6117,6496,7820,3,,en,,"Illinois, USA",True,False,False,http://pbs.twimg.com/profile_images/930167249490599936/9SoHWw80_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/930167249490599936/9SoHWw80_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,Only following Trump supporters #MAGA🇺🇸 #Codeofvets 🇺🇸 #Trump🚂🚂🇺🇸#Patriot🇺🇸 #Buildthatwalll🇺🇸#Trump2020,False,False,2017-09-25 18:29:36
795054505180004352,YodaJacNme3🦋🗽🗽🦋,YodaJaxNme3,13723,12475,13594,13653,8,,en,,"California, USA",False,False,False,http://pbs.twimg.com/profile_images/795666374739652609/tMTSfHXK_normal.jpg,False,https://abs.twimg.com/images/themes/theme1/bg.png,000000,https://pbs.twimg.com/profile_images/795666374739652609/tMTSfHXK_normal.jpg,000000,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,000000,981CEB,,False,False,False,False,False,"Army Nurse Ret,🕯&🙏for those serving our great 🇺🇸nurse practitioner & business owner in CA man is not free unless government is limited~President Reagan",False,False,2016-11-06 00:05:40
862741658479099905,nancy rauls,nlrauls,6108,1577,2286,19366,1,,en,,"Arkansas, USA",True,False,False,http://pbs.twimg.com/profile_images/966778202415755264/DlNxPJZX_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/966778202415755264/DlNxPJZX_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,"Wife mother grandmother,farm owner,gun owner,animal lover.#christian#conservative#secure borders #maga#trump supporter bigly",False,False,2017-05-11 18:50:15
783412696217690120,Don Kress,jeepdonk,63487,3588,4937,72284,12,,en,,,True,True,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,True,,333333,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,President Trump is our only hope   God bless the USA,False,False,2016-10-04 21:05:16
758101519891914761,Tracy,lilbulli1031,14743,20618,19552,34145,11,https://t.co/EsqhDngW9i,en,,,True,False,False,http://pbs.twimg.com/profile_images/992573834426552321/jcYb4spi_normal.jpg,True,,333333,https://pbs.twimg.com/profile_images/992573834426552321/jcYb4spi_normal.jpg,C0DEED,False,DDEEF6,,F5F8FA,1DA1F2,,False,False,False,False,False,"foul mouthed&flawed.Lead, follow or GTF out of my way. #TrumpGirl, HERE for 45! #KAG I❤️my death angel @Airbornex82nd,God,family & USA🇺🇸#Veterans-first ❤️🇺🇸",False,False,2016-07-27 00:47:41
